Log started

PASS | School: 1 | User: 1 | 38.sjava
PASS | School: 1 | User: 1 | 39.sjava
PASS | School: 1 | User: 1 | 40.sjava
FAIL | School: 0 | User: 1 | 41.sjava
FAIL | School: 0 | User: 1 | 42.sjava
FAIL | School: 0 | User: 1 | 43.sjava
PASS | School: 1 | User: 1 | 44.sjava
FAIL | School: 0 | User: 1 | 45.sjava
PASS | School: 1 | User: 1 | 46.sjava
PASS | School: 1 | User: 1 | 47.sjava
PASS | School: 1 | User: 1 | 48.sjava
FAIL | School: 0 | User: 1 | 49.sjava
FAIL | School: 0 | User: 1 | 50.sjava
PASS | School: 1 | User: 1 | 51.sjava
PASS | School: 1 | User: 1 | 52.sjava
PASS | School: 1 | User: 1 | 53.sjava
FAIL | School: 0 | User: 1 | 54.sjava
FAIL | School: 0 | User: 1 | 55.sjava
PASS | School: 0 | User: 0 | 56.sjava
PASS | School: 1 | User: 1 | 57.sjava
PASS | School: 1 | User: 1 | 58.sjava
PASS | School: 1 | User: 1 | 59.sjava
PASS | School: 1 | User: 1 | 60.sjava
PASS | School: 1 | User: 1 | 61.sjava
PASS | School: 1 | User: 1 | 62.sjava
PASS | School: 1 | User: 1 | 63.sjava
PASS | School: 1 | User: 1 | 64.sjava
PASS | School: 1 | User: 1 | 65.sjava
FAIL | School: 0 | User: 1 | 66.sjava
PASS | School: 1 | User: 1 | 67.sjava
PASS | School: 1 | User: 1 | 68.sjava
FAIL | School: 0 | User: 1 | 69.sjava
FAIL | School: 0 | User: 1 | 70.sjava
PASS | School: 1 | User: 1 | 71.sjava
PASS | School: 1 | User: 1 | 72.sjava
PASS | School: 1 | User: 1 | 73.sjava
FAIL | School: 0 | User: 1 | 74.sjava
FAIL | School: 0 | User: 1 | 75.sjava
FAIL | School: 0 | User: 1 | 76.sjava
FAIL | School: 0 | User: 1 | 77.sjava
FAIL | School: 0 | User: 1 | 78.sjava
PASS | School: 1 | User: 1 | 79.sjava
FAIL | School: 0 | User: 1 | 80.sjava
PASS | School: 1 | User: 1 | 81.sjava
PASS | School: 0 | User: 0 | 82.sjava
PASS | School: 0 | User: 0 | 83.sjava
PASS | School: 0 | User: 0 | 84.sjava
PASS | School: 1 | User: 1 | 85.sjava
FAIL | School: 0 | User: 1 | 86.sjava
PASS | School: 1 | User: 1 | 87.sjava
PASS | School: 1 | User: 1 | 88.sjava
PASS | School: 1 | User: 1 | 89.sjava
PASS | School: 1 | User: 1 | 90.sjava
PASS | School: 1 | User: 1 | 91.sjava
PASS | School: 1 | User: 1 | 92.sjava
PASS | School: 1 | User: 1 | 93.sjava
PASS | School: 1 | User: 1 | 94.sjava
PASS | School: 1 | User: 1 | 95.sjava
FAIL | School: 0 | User: 1 | 01.sjava
PASS | School: 1 | User: 1 | 02.sjava
FAIL | School: 0 | User: 1 | 03.sjava
FAIL | School: 0 | User: 1 | 04.sjava
FAIL | School: 0 | User: 1 | 05.sjava
FAIL | School: 0 | User: 1 | 06.sjava
FAIL | School: 0 | User: 1 | 07.sjava
FAIL | School: 0 | User: 1 | 08.sjava
FAIL | School: 0 | User: 1 | 09.sjava
FAIL | School: 0 | User: 1 | 10.sjava
FAIL | School: 0 | User: 1 | 11.sjava
PASS | School: 1 | User: 1 | 12.sjava
PASS | School: 1 | User: 1 | 13.sjava
FAIL | School: 0 | User: 1 | 14.sjava
PASS | School: 1 | User: 1 | 15.sjava
PASS | School: 1 | User: 1 | 16.sjava
PASS | School: 1 | User: 1 | 17.sjava
PASS | School: 1 | User: 1 | 18.sjava
PASS | School: 1 | User: 1 | 22.sjava
PASS | School: 1 | User: 1 | 23.sjava
PASS | School: 1 | User: 1 | 24.sjava
PASS | School: 1 | User: 1 | 25.sjava
PASS | School: 1 | User: 1 | 26.sjava
PASS | School: 1 | User: 1 | 27.sjava
PASS | School: 1 | User: 1 | 28.sjava
PASS | School: 0 | User: 0 | test001.sjava
PASS | School: 0 | User: 0 | test002.sjava
PASS | School: 0 | User: 0 | test003.sjava
PASS | School: 0 | User: 0 | test004.sjava
